Sl.no.,company_name,financial_health_revenue_growth,financial_health_profit_margins,financial_health_cash_flow,financial_health_debt_levels,financial_health_liquidity,market_position_market_share,market_position_competitive_advantage,market_position_brand_recognition,operational_efficiency_productivity,operational_efficiency_supply_chain_efficiency,operational_efficiency_cost_management,management_leadership_experience,management_leadership_vision_strategy,management_leadership_corporate_governance,customer_metrics_customer_satisfaction,customer_metrics_customer_retention,customer_metrics_market_reach,innovation_growth_RnD_investment,innovation_growth_product_pipeline,innovation_growth_scalability,human_resources_employee_satisfaction,human_resources_talent_acquisition,human_resources_training_development,risk_management_operational_risks,risk_management_compliance,risk_management_insurance,sustainability_social_environmental_impact,sustainability_social_social_responsibility,sustainability_social_ethical_practices,technology_digitalization_IT_infrastructure,technology_digitalization_digital_presence,technology_digitalization_cybersecurity,target
108,Prime Group PLC,7.799960247,4.278428749,7.824146281,8.20320857,9.155289293,3.48552602,1.081487454,3.571368109,1.453750962,2.645320497,1.89545202,9.017489335,1.737445951,5.831732319,3.202705717,6.623158588,5.45345611,3.248807187,8.301075026,5.441582644,5.607119091,8.840683417,5.790975423,2.50390079,3.673724949,9.059681083,9.181368472,7.153576242,3.244170798,6.679592004,4.771945777,7.172852097,89.9339053
109,Innovative Industries Ltd.,3.059183489,5.530755438,7.264185562,3.103408737,3.492140386,7.362788387,6.305085905,9.344114037,9.013458888,9.606626934,7.899363502,5.041339843,2.763821662,9.429131963,8.933372376,4.028053166,7.68079221,6.762258235,3.003843117,2.848313662,3.87656313,7.73486921,3.630611554,1.300538844,4.838975688,8.796102606,9.725792874,3.055766111,8.352850427,5.625698613,6.247058347,7.128801363,52.32244086
110,Dynamic Enterprises AG,1.692819188,7.213553458,2.385063157,5.860107231,9.851693254,1.564206595,6.519625164,9.729338728,6.191930812,4.390087964,9.69646868,5.133733194,9.49389744,3.775169095,4.743222889,2.900874327,7.933706084,8.897403176,7.456631999,7.635049095,2.508594075,8.818815075,6.901995716,4.471450415,2.673581009,9.013799834,2.562753814,4.807130016,1.994512161,7.378338603,2.323629141,5.973711236,57.92707678
111,Elite Group LLP,3.607763076,1.353809259,8.342498125,8.920711788,2.266403752,8.554046431,6.739194222,6.141344229,6.075276101,4.053165951,9.73067011,1.692722647,9.78840695,8.82587052,7.483000322,3.818638456,5.496565708,4.763184398,9.489685575,7.297417694,3.365926318,5.828992039,6.774579988,9.132033733,1.999471999,3.430044968,3.007113773,6.016105582,8.465019758,4.517501943,7.888889951,6.072205085,69.89801882
112,Pioneer Enterprises Co.,2.450991585,8.19469359,3.019965147,6.857896321,2.818141016,1.034379304,3.17819872,2.287010104,5.502506817,1.561881946,8.785639894,7.036885229,4.386333964,7.876860279,9.264565318,2.609569617,3.746930771,9.1991413,5.749949882,3.216436607,1.32173555,7.766886199,2.885376004,3.15087929,7.504858296,1.314842395,5.730679252,8.997332452,6.424568205,8.571775163,7.698117326,7.621277548,61.49625818
113,Modern Industries Pvt. Ltd.,9.367278871,6.651103505,3.014358533,5.796620079,2.658023553,3.221414823,7.42647451,4.37093419,1.624546773,5.375562887,6.407129344,8.391334783,9.309574189,3.230311986,4.672364154,9.117244971,9.763683238,9.93847365,5.86026273,9.130669803,7.339812593,2.260581034,1.273576733,2.858618484,3.407606716,3.349601199,1.821255124,3.934634521,2.682185813,7.094710846,9.130069123,3.43002233,66.89507129
114,Innovative Solutions Corp.,8.273083416,1.735831288,5.832769806,3.919003778,9.04590739,7.668136505,1.822523377,8.17959037,1.808891666,1.981122541,7.307791275,3.201895491,5.903422081,1.327066735,2.721496339,4.574681977,6.970263499,1.95482845,5.149302113,1.939343123,5.429049914,4.134471538,4.902603282,9.728387067,8.380534292,3.508366111,4.928035589,2.202024393,5.87831847,7.280242286,1.076374109,4.174916193,99.90873689
115,Prime Consulting Inc. Ltd.,6.700633809,8.862207617,6.336459414,3.997017218,6.888632971,3.846431348,2.793433028,4.306516558,6.408208051,3.236858388,3.566852224,4.791707935,3.427682193,1.916625386,5.654061378,3.207513745,4.674137674,3.097478692,3.933011291,9.844194156,1.848187598,4.50594248,6.125606824,1.225037016,9.960478404,9.184242941,6.236121383,5.403450033,3.542489532,5.823423938,2.950158196,8.844730935,91.27072188
116,Elite Solutions LLP,8.843145312,9.287851605,6.220775871,7.025382597,2.368938549,1.917031493,8.89723042,1.783154965,4.068627143,3.852483596,6.676933782,8.549554031,7.32158849,7.556445405,9.172753184,5.035670569,3.524169018,9.553417763,5.280895278,8.742230299,2.545245938,5.601661716,8.889447505,8.072039354,1.689578325,6.843184596,5.69866214,7.720494415,3.911206013,8.967060858,8.444680428,3.779786809,94.19509075
117,Innovative Ventures Co.,8.233048692,1.549701639,1.823381537,9.947254251,4.962910765,4.242105269,7.648508357,6.011064198,9.255412599,8.279436911,5.100845945,8.894084209,6.930116259,2.797027642,8.239369727,3.884825501,7.579926847,9.624949178,6.42526779,7.191087809,1.922810843,9.361687242,9.353951161,3.892329602,5.257316126,1.735335636,3.978177248,1.988737813,4.163752374,3.268132603,7.035220457,5.916786142,96.85273168
118,Innovative Works Co.,2.67913053,3.491898833,8.897147764,6.956552709,6.537682226,3.433539577,1.123709986,8.606087663,4.659314836,8.879397854,5.338156058,3.188619822,9.902127872,4.341438285,1.59246859,7.699773284,3.17965101,1.879365478,9.87392415,9.448748995,6.513335274,8.868669042,5.759246963,1.337391612,8.218563034,2.218407364,5.882012255,4.822151425,1.569873223,4.43032888,9.049508683,7.323755176,67.04679402
119,Dynamic Group Corp.,9.033030986,8.255811518,3.390400383,6.020050756,1.751176765,8.584407119,3.235386343,8.163337484,2.289533128,3.722196857,7.819989043,5.955135711,3.385425587,5.515292494,7.233155201,9.740979207,2.545389901,1.134986503,9.439881034,7.500800515,1.847893273,2.210729431,7.784231354,9.260222862,8.100558069,2.40108513,9.629208588,1.160066271,9.87365516,7.998783127,1.514616891,9.999323441,64.85384789
120,Prime Works LLP,5.854080177,7.734337213,2.165634292,7.575854592,8.941747316,3.820131258,2.929658347,2.576108261,7.432469502,8.728283091,3.5372652,2.732438356,7.048535524,7.529213516,6.147077702,4.94230291,5.768505001,2.449900209,8.759376625,2.714112973,7.788540997,2.555106867,4.953729451,2.256780972,7.839974425,6.673795734,2.854156639,1.302032635,1.283811653,5.434740065,6.372675691,4.917621983,61.70312463
121,Dynamic Industries LLC,8.266961396,2.660689174,8.998732719,5.186850511,8.232431819,8.100392246,3.437256952,7.05488153,3.640180793,8.715078436,3.862356505,1.916908877,1.468213795,2.019081009,9.167168587,8.7493006,3.609886534,9.96411505,9.002174821,4.979405243,1.184598274,4.218764946,7.714739409,5.966013554,4.140954418,7.61872623,6.893482226,5.346580269,6.962471859,9.002926121,6.121419174,4.85283589,91.50584557
122,Supreme Services PLC,9.064821699,2.88414391,9.600863484,1.541281083,5.546860962,9.026849303,3.228037933,2.984538371,5.729232766,7.881858553,9.32177612,9.200084513,2.022814348,4.657297647,2.102332752,6.092767662,6.660146304,2.619996549,5.21064265,1.643527219,3.244382092,3.616694793,2.843213724,3.466487867,5.084679301,8.736795195,1.390570247,3.683775683,4.34104883,4.117593878,1.321069747,8.583295415,83.97759311
123,Innovative Solutions Inc. Ltd.,3.862031275,4.334248925,8.759148555,6.060671343,9.704139537,4.904356776,1.562736662,2.963867811,7.28049507,2.320256026,1.506018654,8.384567538,1.035265375,5.365656182,5.806325019,2.415120986,2.061448074,5.52292846,6.916998945,4.506916801,9.016000083,6.532938578,4.339582613,1.58673522,6.354715216,9.465728957,1.59774764,8.605965691,6.814092619,4.323971519,5.621698692,8.249528001,61.80859912
124,Global Ventures Pvt. Ltd.,1.990467321,5.360706867,8.285644673,9.618627561,4.759848813,9.189488295,5.130464649,8.86664596,9.102377001,7.212905622,5.370708686,7.840314116,9.99514613,5.867443576,8.915164242,7.215604679,6.894469941,8.635759538,9.055600506,7.674427178,7.466781863,9.12498443,6.708051989,1.449302371,9.765465252,2.815341016,5.966454018,6.419388755,4.206234278,8.998622104,6.485682802,7.579682936,68.84969146
125,Modern Ventures LLC,3.051416463,6.564292944,6.897177826,2.577726481,9.856992871,4.395862486,7.594601273,3.247020575,8.129720753,9.505216581,9.215207204,1.438896869,8.220463274,8.365245773,4.690214081,5.620910474,3.549668752,1.183614496,4.536556885,4.477990158,1.656714996,9.660623875,1.16342169,2.04001029,3.947925438,3.787952363,1.944452623,5.085396656,7.063755816,5.179332882,2.721638568,5.169066737,75.3355882
126,Supreme Industries Co.,4.843970098,4.320222756,5.957716335,7.210044017,7.011279989,9.676705748,6.460585522,3.369226119,7.087249611,7.142864309,6.49326707,8.593559134,8.080507133,2.545103755,5.33795426,6.855458709,1.00218641,6.44040084,9.655862305,3.972647579,8.39013494,6.882426573,7.502151793,1.642303125,9.308294989,3.162905927,1.201121096,4.671418339,7.563119585,5.645121258,3.459966248,3.915452081,76.40700286
127,Innovative Ventures LLP,8.362132893,5.162812445,1.782880839,2.808403198,6.712041459,1.803605721,7.055845017,1.005880517,7.116698642,3.984551642,5.917663668,4.942396683,5.587534678,8.270483066,1.634146099,9.007186713,2.142424519,3.49322904,4.742074559,6.358201503,5.437316094,8.543432813,8.519819511,7.84502304,3.424212264,4.228854107,2.543616979,5.475209322,7.214973764,3.994873438,6.763126117,6.478574343,94.43638643
128,Supreme Group LLC,8.746575249,7.727238443,4.676078918,5.82244916,2.493594058,7.183173399,1.730342607,8.836021307,9.513321796,5.505213857,3.247697613,4.08155611,3.700603746,7.235905849,3.503292764,4.963911136,9.402538401,8.761014248,6.409743989,8.849840761,8.621047245,5.726819802,4.59227495,5.370095821,9.901670189,9.231985967,6.083642539,1.363949481,2.025657832,3.49002948,5.214708528,8.886009638,69.02830665
129,Dynamic Solutions Co.,1.062569175,1.330148826,4.354196653,1.870088047,8.937349825,5.444326364,9.563416392,8.133353319,3.662416877,6.81152539,4.089479402,5.918287249,2.36137856,6.002837328,3.920559843,9.110598609,8.806191752,3.551150343,7.388242419,1.428248733,6.40665797,2.874942522,5.031481755,4.086028822,7.032373181,6.176013102,7.330068591,9.035140208,6.912039112,6.903538398,8.722122918,8.953997124,95.42620153
130,Supreme Consulting LLC,5.596725723,3.271932499,3.337784054,5.053338426,4.847407191,4.488839249,8.546426505,6.645960416,1.010008848,5.595133679,8.668435742,1.822179185,3.56207265,7.295750834,9.506102039,7.756021129,3.102481288,7.180801483,9.555328118,4.469233912,7.136497288,5.722195709,8.66153991,4.765320191,5.171603323,7.643727076,2.822307077,9.984728402,3.519887945,2.078565954,4.081435894,1.976485106,72.06837802
131,Prime Solutions Ltd.,4.756699028,7.420146273,7.510781023,7.80546996,2.460100652,6.694406909,8.245812866,7.752391875,3.447591035,2.079576476,6.032963186,7.809818944,4.383740997,4.708159651,3.544006245,5.397444333,8.005347141,7.067976692,3.201546466,2.424166676,9.941514044,5.995743413,7.980891718,9.36052062,6.520513853,5.411073125,7.014334935,2.633384124,1.259212335,8.913453771,3.399936925,4.855152554,87.31863374
132,Dynamic Solutions Inc. Ltd.,2.998970294,9.056861539,5.462881616,4.128143718,1.11346768,7.334713825,8.406854245,2.368437107,2.961022417,3.808576402,5.632679744,6.241915692,7.806790873,2.245578274,5.147818617,6.428999221,6.477144339,2.99344194,7.715178804,7.258188257,3.091019913,7.682118078,3.593345401,9.196766315,3.452780521,1.25972122,2.64228698,2.083446683,4.733476047,8.012828231,9.863793463,5.182497606,96.512716
133,Tech Systems Ltd.,2.078788306,5.605096979,1.729415943,6.98420552,6.037801153,1.039269427,9.394394573,5.124912351,6.956511266,8.221564275,1.896217422,2.679310872,5.8569561,6.991887162,7.041739812,3.930230193,9.738142403,1.313192799,5.687340275,1.951521044,6.615510173,2.978946907,3.915784959,7.441088321,3.467564718,1.577759374,6.52111684,2.292197171,4.901887925,2.716734373,9.200221931,9.798538308,95.3787852
134,Tech Solutions PLC,4.038536543,5.789021367,2.981648818,8.159049647,5.746596599,2.502577799,5.898285695,4.160974486,6.703404398,8.752762415,1.144253408,2.694089798,1.697352639,5.72205076,2.459650352,9.852375698,4.362450936,4.683246164,3.417014266,6.983269827,5.142892511,4.314793439,7.109904092,8.962141397,2.021990895,5.841307281,4.707637119,6.949243524,5.2045672,7.246179512,1.260934705,7.101982137,52.84764336
135,Supreme Enterprises LLC,9.486187335,1.964548102,7.149328873,9.344600375,7.474182601,7.417414456,2.802538161,1.843988736,6.341152444,2.235700294,9.673166698,2.658237864,1.162261081,6.754373205,5.377981484,7.006160467,7.133145513,3.602738368,7.989461558,3.575627837,1.355067576,4.276247223,6.068782832,3.876832248,2.026452679,7.469101313,6.884195584,6.952967546,7.343417489,6.423696292,7.936557538,4.665217755,60.28521475
136,Elite Ventures Co.,3.908826388,5.026711301,1.685177735,3.111778737,9.012322477,6.997468722,6.551052471,5.375174367,1.146190989,9.571480772,4.392875506,1.513021488,1.920989616,4.041989029,7.646851355,1.394621672,1.571821502,8.280799747,5.970000522,2.790251324,1.130235774,9.634956362,2.46006614,4.429983934,4.129045673,2.937974748,9.955474772,8.631317461,3.779594282,2.660815457,1.993012964,1.234520974,73.84527128
137,NextGen Enterprises LLC,5.669115596,5.793555398,8.660862226,4.593843242,1.714659262,9.694427546,7.685933443,9.286656853,7.55900249,3.959403561,6.428917559,6.290186044,4.694488423,9.161799196,8.801696917,3.939597152,4.566226121,8.203277696,6.948764386,9.42717302,2.0730572,4.995504643,3.789369183,6.523409637,7.865699301,7.497186166,9.440352687,7.766437496,3.837524618,3.458831554,1.247366753,6.088466441,71.5777145
138,Pioneer Enterprises Inc.,7.32717063,3.182234533,5.456318743,2.37174412,7.583468413,7.849340112,7.64125654,1.360532071,3.911773712,6.960823649,1.717435659,8.563133598,9.398736253,6.286328817,6.636333472,6.609829904,9.674358951,5.11321557,3.906109617,1.166721191,6.841825665,7.795845706,9.099849492,6.612633526,6.471740508,8.295991961,1.038535821,5.04720706,1.544970306,4.680878534,3.463259644,1.864683781,82.04458324
139,Tech Consulting Co.,4.272666421,3.423189079,5.325279196,9.932351519,2.686707497,9.55695437,5.693041218,3.623148221,6.985503901,7.766426314,7.148028572,1.157483926,6.736622331,1.768622359,7.021481638,1.5069995,5.85082787,6.458610028,5.331465566,4.939995447,6.104467791,7.757302432,7.193569931,5.335298542,1.923261043,4.707077305,8.968948879,6.515698254,7.181390944,7.293184617,3.424112912,8.510049616,97.23545254
140,NextGen Systems Inc. Ltd.,9.746038744,4.395557468,6.331670062,9.343008711,8.723593478,7.322864514,1.616128474,2.867868426,6.009205857,8.307516112,9.393100378,1.441041805,8.216433099,5.048235916,2.136551253,1.214957722,3.59091553,6.438335644,6.556188259,1.194642932,5.98086605,3.389897663,9.873768859,4.605920636,8.670128725,7.717773096,1.598417157,7.194562033,6.110434823,6.748510679,8.373868861,7.772667945,55.62023556
141,Innovative Services Ltd.,9.662025654,1.18064078,8.422128693,5.859614173,8.371571625,3.682469878,4.340016446,3.143319883,4.084578329,9.51174732,6.180987277,6.15493249,5.197371351,7.807204493,9.511988475,5.050218156,2.082438668,8.444423336,4.644197328,5.352337433,1.286710863,6.146827204,7.90311277,9.875622804,6.412308643,4.636269553,9.577419275,5.614628233,4.144826014,5.790113629,7.396005213,5.144582439,72.59293326
142,Dynamic Ventures Inc.,3.266040662,3.89871249,4.130282871,8.578299649,5.867143795,1.9482843,9.286899476,9.175910967,2.211186404,3.816275932,2.135037901,8.375461168,4.254994749,8.147211056,2.193166697,3.994211617,7.331755062,4.825021727,2.785352859,5.5094264,5.223726967,9.04872604,9.477769889,8.390112635,9.647700191,7.105155665,3.536431112,5.28085886,7.34670081,7.915694888,9.834484846,4.862897016,59.62055189
143,Innovative Consulting LLC,5.475236553,2.903032063,7.102145373,5.688621795,7.392185188,8.03641477,6.260040188,5.212621488,1.849770079,8.726558091,6.235493747,3.940650015,1.975603354,5.451373475,7.972056435,4.944687472,6.803704391,3.479020118,9.654764431,3.894962243,9.321605361,5.276779475,2.945697165,4.914821781,7.031669207,7.875973444,4.438313474,6.805877011,5.836219743,7.821439656,7.403616103,9.07605069,94.70537992
144,NextGen Industries Co.,3.707904788,3.94747617,6.091587676,6.612271192,3.829151019,6.797342993,5.844987489,5.196694716,8.483664998,2.185182131,7.897124918,4.146529589,8.8833972,9.052728137,3.383346896,3.364239789,4.365448422,3.385314263,5.60320786,2.189455998,4.578326824,9.506057566,7.943363873,7.545632295,2.576573773,9.927339565,1.824743847,6.017270941,5.223204513,6.560732387,4.764299979,3.596125154,98.22900929
145,NextGen Ventures LLP,3.563564449,2.077859186,3.403254432,1.802119889,5.24051109,1.433674112,3.419681629,7.845180782,9.265577879,7.345368157,4.657748829,6.367118477,8.048440261,3.409015935,9.402338293,2.482459722,9.558472167,5.825730514,7.605283333,4.38748784,6.624302228,2.930124064,1.181957681,3.426055239,5.264050261,4.108569959,2.010454825,6.795480748,5.601920893,8.08291075,7.290348949,3.241179659,73.93508409
146,Innovative Ventures Co.,1.331982526,9.014745527,8.907669877,7.797433784,8.394732079,4.240454193,4.316040279,2.390429836,6.848092421,7.677799566,8.918539731,3.467916002,2.513062878,4.695388275,7.479635854,7.202290213,1.199825317,5.042333825,4.699424742,7.050366459,8.018368081,1.667431952,7.036840195,1.901523936,6.836478378,4.699367025,7.540665087,6.515692966,6.727133127,4.008370373,9.995131605,9.452776895,55.20051489
147,Elite Services Inc.,6.486079006,6.342332082,8.176834194,2.149421353,5.133386775,9.611198339,9.058114802,5.385388187,1.930907034,7.099509171,6.83814658,1.239475295,5.610345075,9.087372195,7.784323417,5.631140046,3.733514665,4.961086939,4.196185876,8.041562278,8.055327512,9.023084858,5.223540503,4.17187923,1.254382309,2.490580535,9.498990122,7.472769045,6.940023441,8.931245755,7.391276943,8.283212531,89.26473334
148,Elite Ventures LLC,5.524111209,7.111920872,6.926066512,8.434608672,4.220184388,5.503610311,6.998167428,4.869866927,4.618244952,3.270832625,9.093240265,7.617056663,5.386373271,9.066310448,2.971532558,2.801387901,9.289625377,1.820236052,4.664478686,5.776755421,5.673520742,8.629130782,4.120840647,4.626755201,1.134192377,2.836657526,6.496736455,6.785231579,3.600620372,6.534190772,7.855132204,8.385630338,84.85706752
149,Prime Group Inc. Ltd.,1.463308761,8.102541147,8.655235562,8.038252789,5.447912025,4.894562224,8.086483241,6.372196215,7.560452801,8.857388323,6.611547801,6.630849216,6.625823974,7.171414919,4.98735979,3.876304836,3.888418945,7.467433666,4.682769794,6.30850955,8.721567509,9.933308883,8.761639171,1.148834121,2.164627005,7.240555023,7.44265014,5.677682378,2.266690271,8.401271624,9.445285137,2.756744328,67.73354133
150,Prime Group Ltd.,3.507818178,5.48597979,8.805647809,7.37870228,8.454243272,5.119296446,5.089108808,9.996019329,8.018387956,2.51972617,2.181591748,6.226803992,9.515682046,8.730824924,6.560318751,6.326271169,3.270275505,2.923630192,5.897621043,2.80554734,4.52240284,7.114541393,8.688409234,8.333128015,3.264979915,9.253410311,7.857727701,7.136171302,2.409707631,5.916511943,2.022861352,2.289663923,94.3703737
151,NextGen Services Pvt. Ltd.,9.174392974,1.782282593,7.37526679,1.325443425,4.016872426,2.879944516,6.672224975,7.925040047,2.063967601,1.482713124,3.7872254,7.675157161,6.217942976,1.798959403,7.929762564,1.650064134,5.807983689,2.772582672,5.89122883,3.585972999,8.998238933,9.43019134,1.200715344,4.232740622,4.865942112,4.551444565,3.365328471,5.045337687,6.754517973,2.965944205,7.343058641,1.234265948,98.79159449
152,Global Ventures Inc.,3.156057016,5.833958876,8.533119955,3.728155204,2.563854338,4.318364538,3.235452479,4.580791327,1.00027647,7.457184916,2.816154534,7.077077538,5.861955401,8.784954786,1.935634383,2.327077083,8.414215749,4.714824882,5.474384343,2.45706049,3.162044498,8.442541226,6.485546102,6.223763492,5.386964264,2.618600022,1.407066678,3.175041034,8.855859572,5.881691158,8.657253622,3.13337358,77.89269246
153,Global Industries LLC,2.304053849,6.281570062,7.277243155,3.368013129,7.408126183,4.328319304,7.349147473,8.44797747,7.409233413,5.279281437,9.179438479,2.852937894,1.452906396,3.885579159,9.661287848,1.659210437,1.928320848,3.050005075,2.213072064,3.24365815,3.521947663,8.599836998,4.310490019,1.665668685,2.24224848,3.565895494,1.016854695,1.012763981,4.685466505,4.340004974,9.589407402,7.967714425,78.28639557
154,Pioneer Consulting LLP,5.405074842,7.708955268,7.121266946,4.241227667,8.433803914,1.471195182,4.848412003,2.53637527,4.209365584,8.64188218,7.843600606,4.172329422,1.566167284,2.604983612,9.011986035,8.310855994,9.487186387,6.254724406,5.464679307,3.023981022,1.478085618,6.122274134,4.740949014,2.574971459,7.060524212,5.095465343,4.155843547,6.039677324,2.525681443,7.277491324,2.898723607,3.160345769,64.87567526
155,Modern Group LLP,9.870854087,4.884935916,6.567502404,1.788784721,1.905737307,7.908108657,4.982909633,1.274173177,3.290331985,4.45057427,7.08758532,2.134991275,2.686121122,3.154328527,3.433137314,7.771683099,8.155655931,4.343170054,2.521935104,5.675039078,8.160236529,4.441281381,8.488366653,9.007243528,6.365242555,3.615852964,3.173178054,6.315897039,7.809422485,5.282144126,5.53536107,7.561929552,79.2253018
156,Supreme Solutions LLC,3.178497444,2.148222725,7.774449756,9.432620407,3.158867015,4.748539887,6.843900921,2.840035352,1.116077228,2.514507297,3.708696877,2.168713121,1.292236945,4.761716572,8.404842187,7.779816387,2.6312523,5.040205503,2.135222077,6.064198802,4.753497126,9.411022653,3.788557944,6.478187751,3.65017689,3.102211748,1.560859525,9.748440683,8.49240527,8.525015244,7.124993629,3.267174388,71.98211603
157,Innovative Holdings Pvt. Ltd.,7.049219927,3.553983152,2.427445948,5.984220166,2.277747908,8.399618981,9.426525593,4.063704005,5.862694661,8.527979732,2.656402948,7.085761717,7.69017606,3.260728041,5.664915307,7.446928091,7.408071651,5.834523894,9.393811456,9.504526787,3.062049525,4.889054581,9.487439296,9.552556452,1.122938951,7.623860399,2.615754632,4.253305007,8.925241988,7.102652611,3.227209566,4.557632482,65.10955135
158,NextGen Works LLP,7.854576538,4.267740668,8.927836833,3.749718796,4.131472704,8.65313201,1.576057119,5.595226817,8.660356619,5.940186685,7.808059792,8.727400963,7.509972736,3.885108274,5.156258334,7.024468813,4.464628504,2.831819702,6.444550118,2.760135824,3.086112499,5.849374305,2.616704437,9.98875031,1.698831238,1.070604291,2.120490084,4.547199185,6.46148286,7.160899897,6.404255769,9.848460609,53.35925983
159,Elite Solutions Corp.,3.138737896,6.813255172,8.84659175,4.572833654,5.05315881,2.907946492,8.422689136,6.536162265,9.618684816,2.702762132,5.267421513,9.664593255,2.22450611,2.214806375,3.829906952,5.292927238,4.620652103,2.401764606,6.935410523,6.775081391,9.112599471,5.015028764,6.96450181,4.346741038,4.52525298,5.853074746,9.233905426,2.816196232,8.746557034,2.954398001,3.318209042,3.203305582,62.63539299
160,Innovative Ventures Co.,7.553947138,6.137004742,1.263225547,5.024822865,7.739437033,6.91618134,3.631447994,9.195451455,6.091704556,7.483455987,3.032105969,6.655124058,8.524710107,3.66559089,6.22871728,6.780503472,8.049610832,8.923797126,4.616143033,8.355333421,8.505249404,6.083364826,7.048945603,3.689227577,2.38576916,8.143901263,2.262404921,1.634808657,1.138734626,9.858247898,4.001113185,4.387335646,59.89273248
161,Elite Holdings Corp.,4.310048194,4.204870533,8.432350755,6.405349,6.860328264,5.250536237,4.995275091,5.588686086,5.63015195,5.600022746,6.549597803,2.65691191,2.393074314,6.150554331,7.569002059,1.345253993,9.665063272,4.903513325,9.180828027,6.042173174,5.981777968,5.234545711,3.269756453,8.725204496,4.391376455,3.396054577,5.838836176,7.955240436,1.965122216,8.575076883,4.973668269,3.709784624,77.10209923
162,Supreme Solutions Corp.,6.690752475,9.878637239,2.159828807,5.641114849,6.588357107,8.921410641,1.197219959,5.511480802,1.765507469,6.43881684,1.363004669,1.950853109,3.710580283,4.976683373,4.698396145,6.593179804,2.139902856,4.708842487,6.741374406,3.295032873,6.544997204,1.431708027,3.922755481,9.987502843,6.653643441,6.429623596,6.337953596,3.247129579,1.833184603,8.101043961,5.762710889,1.986624877,80.08350109
163,Prime Group Pvt. Ltd.,6.701767397,6.451973374,4.016069688,9.274527759,4.171374519,2.941666113,3.709414701,1.452187088,5.939855214,5.148085044,3.935532287,8.315658744,3.240792092,4.120468851,6.662972737,8.00089935,4.785672132,1.320509352,7.922528826,3.36295207,5.268930135,8.938433674,8.513186433,6.666771108,5.925136851,7.020100951,5.891405119,6.480143749,7.413442158,3.971937026,5.044292845,5.409047279,80.42858622
164,Modern Solutions Corp.,5.821972157,3.135041126,7.691574307,5.472671346,8.573027978,7.100318803,5.523681184,1.314203974,4.419811711,8.458380854,5.217012951,6.208808287,4.350763887,7.71806916,7.29381629,5.503225243,5.328474473,5.481786723,4.317062221,1.353277478,4.524998886,4.99954437,7.856247295,8.156266503,3.080582948,6.895222268,1.891507908,7.18995732,1.626236052,5.820684876,5.438759678,4.40821597,69.40905005
165,Prime Works Pvt. Ltd.,1.81260793,1.916042254,2.446839064,9.929422133,5.241584507,6.4697691,1.505584696,5.960439657,6.464217528,8.466064441,2.331625007,6.564565189,3.291973893,9.041589743,7.400096353,4.217619956,4.386806353,5.987527494,9.640106927,3.748998039,9.239291931,6.300492837,3.961862923,8.035712729,4.094402421,5.012646708,3.869185256,5.241130186,5.467279352,2.233928693,3.687298807,7.253983772,71.06148668
166,Prime Works PLC,8.51772246,2.375732253,8.361703217,8.66282462,9.811944442,3.657713298,5.419861564,4.943607519,4.498537131,7.384499396,9.861890298,8.033158799,5.400558338,7.811103006,1.467694883,3.496840613,4.268702113,6.029567839,8.384151611,7.701433111,2.130514332,2.252690225,5.805608922,4.198057374,6.526280786,4.119201891,1.461432992,8.887169017,5.254362088,5.84628379,2.430685846,8.358350923,91.71192148
167,Prime Holdings PLC,3.887020585,3.213619555,8.489207602,2.876594629,6.707279245,2.229408133,9.34399566,8.552623555,3.162692111,1.948612397,2.881876281,7.32949505,4.666670932,3.988006319,8.737730251,6.785218451,1.470418008,7.363280524,8.685536167,1.427659815,4.766021107,1.030490632,1.555122666,6.168433422,8.747695252,8.523316657,4.561029227,4.994153569,3.796331712,2.313003218,1.426149796,5.89824743,73.81164068
168,Tech Industries LLP,2.678666594,2.446132359,5.567209604,9.375356932,2.136382674,6.864757844,1.948538963,2.446116262,1.854687477,8.549684757,2.17317817,8.510124276,9.879125417,7.699979511,5.124279833,7.235210788,7.169847585,2.597336515,2.549748407,2.973657543,4.101057172,3.207610843,2.878712942,8.497512471,7.778920949,7.826013613,2.697390381,3.564177607,8.833646529,5.977340596,2.763808502,1.289767799,99.38866661
169,Elite Group Inc. Ltd.,1.366976274,2.679103216,1.057472845,2.047297581,7.085598059,7.647377123,7.879966553,1.224744959,3.834266001,7.039116825,2.831813865,1.505925149,1.503337151,2.367821642,3.361744735,8.838708399,4.925929754,3.270008208,3.438668871,7.356092487,5.483356482,7.341274289,5.37238503,7.193024886,5.980600242,3.891296561,6.0546928,9.064139707,2.533898817,6.838496921,6.237492774,6.570301206,71.9808615
170,Global Systems Inc. Ltd.,6.318036489,3.565856518,3.583343199,8.357047376,3.925936139,3.840646094,4.68703948,5.041348911,1.869803509,7.273217494,7.921550198,7.727685731,2.279632387,2.172861893,3.175880567,4.081006742,2.753144224,8.296574187,3.570639397,8.043864065,5.118686871,1.892750771,1.773763618,1.190474326,4.260636985,1.92717275,7.235275545,8.754078558,4.17216506,4.511763705,8.07503903,1.49851657,82.47904723
